RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session1DateUtc,Session2,Session2Date,Session2DateUtc,Session3,Session3Date,Session3DateUtc,Session4,Session4Date,Session4DateUtc,Session5,Session5Date,Session5DateUtc,F1ApiSupport
0,Spain,Barcelona,FORMULA 1 PRE-SEASON TESTING 2020,2020-02-21,Pre-Season Test 1,testing,Practice 1,2020-02-19 09:00:00+01:00,2020-02-19 08:00:00,Practice 2,2020-02-20 09:00:00+01:00,2020-02-20 08:00:00,Practice 3,2020-02-21 09:00:00+01:00,2020-02-21 08:00:00,None,,,None,,,False
0,Spain,Barcelona,FORMULA 1 PRE-SEASON TESTING 2020,2020-02-28,Pre-Season Test 2,testing,Practice 1,2020-02-26 09:00:00+01:00,2020-02-26 08:00:00,Practice 2,2020-02-27 09:00:00+01:00,2020-02-27 08:00:00,Practice 3,2020-02-28 09:00:00+01:00,2020-02-28 08:00:00,None,,,None,,,False
1,Austria,Spielberg,FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2020,2020-07-05,Austrian Grand Prix,conventional,Practice 1,2020-07-03 11:00:00+02:00,2020-07-03 09:00:00,Practice 2,2020-07-03 15:00:00+02:00,2020-07-03 13:00:00,Practice 3,2020-07-04 12:00:00+02:00,2020-07-04 10:00:00,Qualifying,2020-07-04 15:00:00+02:00,2020-07-04 13:00:00,Race,2020-07-05 15:10:00+02:00,2020-07-05 13:10:00,True
2,Austria,Spielberg,FORMULA 1 PIRELLI GROSSER PREIS DER STEIERMARK 2020,2020-07-12,Styrian Grand Prix,conventional,Practice 1,2020-07-10 11:00:00+02:00,2020-07-10 09:00:00,Practice 2,2020-07-10 15:00:00+02:00,2020-07-10 13:00:00,Practice 3,2020-07-11 12:00:00+02:00,2020-07-11 10:00:00,Qualifying,2020-07-11 15:00:00+02:00,2020-07-11 13:00:00,Race,2020-07-12 15:10:00+02:00,2020-07-12 13:10:00,True
3,Hungary,Budapest,FORMULA 1 ARAMCO MAGYAR NAGYDÍJ 2020,2020-07-19,Hungarian Grand Prix,conventional,Practice 1,2020-07-17 11:00:00+02:00,2020-07-17 09:00:00,Practice 2,2020-07-17 15:00:00+02:00,2020-07-17 13:00:00,Practice 3,2020-07-18 12:00:00+02:00,2020-07-18 10:00:00,Qualifying,2020-07-18 15:00:00+02:00,2020-07-18 13:00:00,Race,2020-07-19 15:10:00+02:00,2020-07-19 13:10:00,True
4,Great Britain,Silverstone,FORMULA 1 PIRELLI BRITISH GRAND PRIX 2020,2020-08-02,British Grand Prix,conventional,Practice 1,2020-07-31 11:00:00+01:00,2020-07-31 10:00:00,Practice 2,2020-07-31 15:00:00+01:00,2020-07-31 14:00:00,Practice 3,2020-08-01 11:00:00+01:00,2020-08-01 10:00:00,Qualifying,2020-08-01 14:00:00+01:00,2020-08-01 13:00:00,Race,2020-08-02 14:10:00+01:00,2020-08-02 13:10:00,True
5,Great Britain,Silverstone,EMIRATES FORMULA 1 70TH ANNIVERSARY GRAND PRIX 2020,2020-08-09,70th Anniversary Grand Prix,conventional,Practice 1,2020-08-07 11:00:00+01:00,2020-08-07 10:00:00,Practice 2,2020-08-07 15:00:00+01:00,2020-08-07 14:00:00,Practice 3,2020-08-08 11:00:00+01:00,2020-08-08 10:00:00,Qualifying,2020-08-08 14:00:00+01:00,2020-08-08 13:00:00,Race,2020-08-09 14:10:00+01:00,2020-08-09 13:10:00,True
6,Spain,Barcelona,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2020,2020-08-16,Spanish Grand Prix,conventional,Practice 1,2020-08-14 11:00:00+02:00,2020-08-14 09:00:00,Practice 2,2020-08-14 15:00:00+02:00,2020-08-14 13:00:00,Practice 3,2020-08-15 12:00:00+02:00,2020-08-15 10:00:00,Qualifying,2020-08-15 15:00:00+02:00,2020-08-15 13:00:00,Race,2020-08-16 15:10:00+02:00,2020-08-16 13:10:00,True
7,Belgium,Spa-Francorchamps,FORMULA 1 ROLEX BELGIAN GRAND PRIX 2020,2020-08-30,Belgian Grand Prix,conventional,Practice 1,2020-08-28 11:00:00+02:00,2020-08-28 09:00:00,Practice 2,2020-08-28 15:00:00+02:00,2020-08-28 13:00:00,Practice 3,2020-08-29 12:00:00+02:00,2020-08-29 10:00:00,Qualifying,2020-08-29 15:00:00+02:00,2020-08-29 13:00:00,Race,2020-08-30 15:10:00+02:00,2020-08-30 13:10:00,True
8,Italy,Monza,FORMULA 1 GRAN PREMIO HEINEKEN D’ITALIA 2020,2020-09-06,Italian Grand Prix,conventional,Practice 1,2020-09-04 11:00:00+02:00,2020-09-04 09:00:00,Practice 2,2020-09-04 15:00:00+02:00,2020-09-04 13:00:00,Practice 3,2020-09-05 12:00:00+02:00,2020-09-05 10:00:00,Qualifying,2020-09-05 15:00:00+02:00,2020-09-05 13:00:00,Race,2020-09-06 15:10:00+02:00,2020-09-06 13:10:00,True
9,Italy,Mugello,FORMULA 1 PIRELLI GRAN PREMIO DELLA TOSCANA FERRARI 1000 2020,2020-09-13,Tuscan Grand Prix,conventional,Practice 1,2020-09-11 11:00:00+02:00,2020-09-11 09:00:00,Practice 2,2020-09-11 15:00:00+02:00,2020-09-11 13:00:00,Practice 3,2020-09-12 12:00:00+02:00,2020-09-12 10:00:00,Qualifying,2020-09-12 15:00:00+02:00,2020-09-12 13:00:00,Race,2020-09-13 15:10:00+02:00,2020-09-13 13:10:00,True
10,Russia,Sochi,FORMULA 1 VTB RUSSIAN GRAND PRIX 2020,2020-09-27,Russian Grand Prix,conventional,Practice 1,2020-09-25 11:00:00+03:00,2020-09-25 08:00:00,Practice 2,2020-09-25 15:00:00+03:00,2020-09-25 12:00:00,Practice 3,2020-09-26 12:00:00+03:00,2020-09-26 09:00:00,Qualifying,2020-09-26 15:00:00+03:00,2020-09-26 12:00:00,Race,2020-09-27 14:10:00+03:00,2020-09-27 11:10:00,True
11,Germany,Nürburgring,FORMULA 1 ARAMCO GROSSER PREIS DER EIFEL 2020,2020-10-11,Eifel Grand Prix,conventional,Practice 1,2020-10-09 11:00:00+02:00,2020-10-09 09:00:00,Practice 2,2020-10-09 15:00:00+02:00,2020-10-09 13:00:00,Practice 3,2020-10-10 12:00:00+02:00,2020-10-10 10:00:00,Qualifying,2020-10-10 15:00:00+02:00,2020-10-10 13:00:00,Race,2020-10-11 14:10:00+02:00,2020-10-11 12:10:00,True
12,Portugal,Portimão,FORMULA 1 HEINEKEN GRANDE PRÉMIO DE PORTUGAL 2020,2020-10-25,Portuguese Grand Prix,conventional,Practice 1,2020-10-23 11:00:00+00:00,2020-10-23 11:00:00,Practice 2,2020-10-23 15:00:00+00:00,2020-10-23 15:00:00,Practice 3,2020-10-24 11:00:00+00:00,2020-10-24 11:00:00,Qualifying,2020-10-24 14:00:00+00:00,2020-10-24 14:00:00,Race,2020-10-25 13:10:00+00:00,2020-10-25 13:10:00,True
13,Italy,Imola,FORMULA 1 EMIRATES GRAN PREMIO DELL'EMILIA ROMAGNA 2020,2020-11-01,Emilia Romagna Grand Prix,conventional,Practice 1,2020-10-31 10:00:00+01:00,2020-10-31 09:00:00,,,,,,,Qualifying,2020-10-31 14:00:00+01:00,2020-10-31 13:00:00,Race,2020-11-01 13:10:00+01:00,2020-11-01 12:10:00,True
14,Turkey,Istanbul,FORMULA 1 DHL TURKISH GRAND PRIX 2020,2020-11-15,Turkish Grand Prix,conventional,Practice 1,2020-11-13 11:00:00+03:00,2020-11-13 08:00:00,Practice 2,2020-11-13 15:00:00+03:00,2020-11-13 12:00:00,Practice 3,2020-11-14 12:00:00+03:00,2020-11-14 09:00:00,Qualifying,2020-11-14 15:00:00+03:00,2020-11-14 12:00:00,Race,2020-11-15 13:10:00+03:00,2020-11-15 10:10:00,True
15,Bahrain,Sakhir,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2020,2020-11-29,Bahrain Grand Prix,conventional,Practice 1,2020-11-27 14:00:00+03:00,2020-11-27 11:00:00,Practice 2,2020-11-27 18:00:00+03:00,2020-11-27 15:00:00,Practice 3,2020-11-28 14:00:00+03:00,2020-11-28 11:00:00,Qualifying,2020-11-28 17:00:00+03:00,2020-11-28 14:00:00,Race,2020-11-29 17:10:00+03:00,2020-11-29 14:10:00,True
16,Bahrain,Sakhir,FORMULA 1 ROLEX SAKHIR GRAND PRIX 2020,2020-12-06,Sakhir Grand Prix,conventional,Practice 1,2020-12-04 16:30:00+03:00,2020-12-04 13:30:00,Practice 2,2020-12-04 20:30:00+03:00,2020-12-04 17:30:00,Practice 3,2020-12-05 17:00:00+03:00,2020-12-05 14:00:00,Qualifying,2020-12-05 20:00:00+03:00,2020-12-05 17:00:00,Race,2020-12-06 20:10:00+03:00,2020-12-06 17:10:00,True
17,Abu Dhabi,Yas Island,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2020,2020-12-13,Abu Dhabi Grand Prix,conventional,Practice 1,2020-12-11 13:00:00+04:00,2020-12-11 09:00:00,Practice 2,2020-12-11 17:00:00+04:00,2020-12-11 13:00:00,Practice 3,2020-12-12 14:00:00+04:00,2020-12-12 10:00:00,Qualifying,2020-12-12 17:00:00+04:00,2020-12-12 13:00:00,Race,2020-12-13 17:10:00+04:00,2020-12-13 13:10:00,True
